u.userId,u.profileName,cnt
A1J2NY8WN0ZQSR,"Rena M. Mason ""Rena Marie Mason""",32
A21ROGMQBVJKQZ,Bonsread,32
A2PQ2ZQB8GFJU4,Rank,32
A2U80IPZXN5V1U,Tommy Sixx Morais,31
A1H49T061TKZJW,Elysa,31
A3A9KE0A569P7U,kristin,28
A25XGZX0YRTJKN,Paul J. Moade,27
A3D9HZL80SMEXN,"Stephen B. Sprowls ""Steve""",27
A3KKM0T1KY42HA,Sky,27
A16QODENBJVUI1,Robert Moore,26
AR2SX5MACWWLS,j,26
AR3ZRLNP0NE9V,Jonejl09,26
A18FJMW81TSG1Z,Scruffy,26
AV1KYJXHOWPMD,"N. HAGAN ""Anime Brothers""",25
AJIW0UEICXZC3,"S. Jergens ""Book & Movie Buff""",25
ABO2ZI2Y5DQ9T,Tsuyoshi,25
A2P49WD75WHAG5,Daniel J. Hamlow,25
A2R4XG0L7Z01V8,"Meesha ""I'm A Lonely Angel Stuck On The Slow ...",25
A283DRDH325RQM,Mickey,25
A1XGAH85KZ4XPC,"dchi ""gottaScoot""",25
A1ZNGCNKCHW11,"Norman Strojny ""retired tech-person""",25
ACKDSX71VI5HY,"Gregory N. Perkins ""wide reader""",25
A1BXQH1PF2EUAV,rich9750,25
AMIPTGKVFZ18D,Jan A Rangel,25
AWRR7ZTXPMXR6,Manchu,25
A1DA6E4FNRSAWN,Furio,25
AU503HFYAB0IG,"Christopher J. Benz ""CJB""",25
AK1LLMF46OVFZ,Mindbreak,24
ASL2Z9ABDMA9A,"Janis A. Green ""library lady""",24
A2S4L7GW93VB6T,"A kid ""lives 4 video games and books and movies""",24
A2ZDEIO803CM2L,Movie Lover,24
A3LZGLA88K0LA0,Michael Butts,24
A1IUI3CJUMB7J0,Jake,24
A6C19BE2M3N11,Elizabeth Smith,24
ARJIDDFITZTR8,"Felipe Montenegro ""Felym""",24
A11XKY4EIU2KNR,"Johny Bottom ""Insane and lonely guitarist""",24
A3PV95KM3MCTTE,NT,24
A13NC6COHAMFZ4,"Carol Vesperino ""DRAGON LADY""",24
A1YB29BIDULEYE,"Bradley Headstone ""Sean ARES Hirsch""",24
AIPZUCVAV18MG,"Martin A. Almario ""JM""",24
A178ZGW0U1JYXS,"Drew Richards ""Mrs.AMRichards""",24
AUE1NVVQGS816,CK,24
AAEP8YFERQ8FC,General Breadbasket,24
A26BWRBPP4V2WF,Craig MACKINNON,24
A2HYZQFG7NLATH,"Kenneth Bradley Smith ""vVv ORION""",24
A1N4CJO76GFKVG,"Clayton Self ""Clayton S""",23
AI0XET1I1CUG4,"gb0923 ""gb0923""",23
A3LJEW71639ZLL,Catherine E. Davis,23
A3Q30U1DZ9125L,"Christina Russell ""Christy &#60;3""",23
A1BWA5VJ3RAAQX,Sarah,23
A1U3BZVWDUG09C,Karen W.,23
A28W1RJY47AU7C,"Cesar Figuereo ""Bigsexy""",23
A3CX7H6VOYQ5ND,"Larry N Rasmussen ""Larry R.""",23
A3DGVB3T5QJNRE,Danny G.,23
A3LAKFK21AQPSE,The Bigmac,23
AMCZD638F275X,Donna Gatlin,23
A9ENLSW5C1WXK,Billy J.,23
ARSHG209RR0KB,Germonville Thierry,23
AT8A60UH96PFS,"jcb ""jc77""",23
A3JS331R4TEBB8,doeeyedgrl,23
A3TJR9LJ0ATDMK,Ashb&gt;,23
A3PBKCAK45NNUQ,gmadar,23
ASJN4DBPLF53L,"Jasun Mark ""smut peddler""",23
A1KSQ2TPM2WT8J,"Numisguy ""kerux""",23
AQSM33O4Y02PM,Cranpa,23
A24X8P2TG2AR02,Cody,23
A3VXBW6KK2ZABY,andrea_mh_michel@hotmailcom,23
AUSATFDSU2INS,"milss ""Yellow hair warrior""",22
ALAXP7TR9PAKY,J. Marcucci,22
A3DGB4HN3QCGAL,A. Burchfield,22
A1VBWYIOZQQIDQ,"Alan Montgomery ""Opera lover""",22
A1BMHR5OF8A2AE,Catman,22
A3QSQKG6Y4YN45,J. Hedgepeth,22
A3N8RZSXKN1OR2,Chrijeff,22
AM1XCST027MCO,"Karie L. Kelliher ""Karie""",22
A2Q01JIF7GHF2D,"B. Olszewski ""RedPar8""",22
A1B5PM46YXKDWS,M. MacKenzie,22
A2ATWKOFJXRRR1,"B. Merritt ""filmreviewstew.com""",22
A3MADEFLE1QN0,"Haley ""knutty knightingale""",21
A2RDZJ9O4CMS12,Njaymaldito,21
A2PH4CTSK44QZN,Melissa Bucholz,21
A2WE94927YC3KI,"Popcicle ""Smart""",21
A2RVHLENE2M3AL,Yilaing Siritt,21
A303IBWZ0QMZ9Z,"Raul C ""Raul""",21
A6NPZ72Q6RH9,"Abner S. Torres ""Warrblade""",21
AQ53V7NZ0D5PO,N. Reed,21
A2KSMCH46TL9QF,"Lisa Herbertson ""Author of 'Swimming Along'""",21
A1GHUN5HXMHZ89,"C. A. Luster ""The Rook""",21
A3OFCP5DTLDG6Y,"MarfyBarfy ""mahfromwi""",21
A18IK6YI6T3RK2,Shannon Deason,21
AA68BSG4MNKA6,Kevin C. Li,21
AAWDSQS717DLW,Donna Lash,21
A2PNTEDGMOLMOY,Scott Schiefelbein,21
AZYPRL1Y0VGDB,"Izzy ""43""",21
AFEOC3D8WKN1D,Deirdre T. Allen,21
A2RBE2EXK10ZTA,"Scott Scott ""scott2000plus""",21
A2BJICV5KTAX8H,FantasyFan,21
A2NJO6YE954DBH,Lawrance M. Bernabo,21
A2MG8DHACXH5MS,"M. R. Estante ""book reader""",21
A5X1B2HBQUR3P,"Vikram Ramanathan ""Live to Learn""",21
A1COW0UIB5HA9J,"John Lindsey ""John""",21
A2PDPPIQ3SZ29V,"Pamela Correa ""peanut gallery""",21
A1Q8KFCJOJAHBS,Gina,21
A3T2G352GLIEZZ,"The Legend Of Megadon ""MEGAN""",21
A3DOUQG7UGOZSL,Andres Antunez,21
A1WYPF1DKC1G9S,Stanislav Sokolov,21
A2G9DGP3L4JGV1,L O'connor,21
A2P49R9QC7CCI8,"M. Stevens ""Paradoxicon""",21
A1H1C2UZ6FH0YL,"Johnfourtytwo ""tired and almost retired""",21
A26HL95OTC4TIN,dude,21
A23CGJKX5BQ46B,"C Lynn P ""Cher""",21
ABO0IOAFJM2C9,Judi Daniel,21
A3UF11NIFLH9QE,Sheryl J. Alldredge,21
A2EPKLZETLIO8H,greenie,21
A2OLM3EXS7JHZ8,"Richard Posner ""wordspinner""",21
A1LF2MUSNSMB70,Nancy B.,21
A168VXSISJWQN9,"John D. Muir ""oldies and pies lover""",21
A39SJ6V6QCGC37,Midge,21
A34GZPHWYPSY2T,E. Hernandez,21
A32JKNQ6BABMQ2,"abe ""starman""",21
AH5HE9JFX6HK4,Jennifer Good,21
A1DGLX5W5IGJAU,A. Jacobs,21
A16WLNBWXNYSGU,William Totten,21
A3UUDBOQ6C85ZG,Trixxx E.,21
AKYR5JF2P6FLN,anglofan,21
AH1LX8RA8P39H,Shirley Tinsley,21
ALDAF4VVLFRHP,Patricia L. Brouillette,21
A15G3NU4KL9SAI,Robin,21
AU35ONCXASKXZ,Susana Brand,21
A2OYVSDH2PGLLU,MH,21
A2V5M5EJPOD2IU,David Bradshaw,21
A3872Y2XH0YDX1,Jonathan Hefner,21
ASV20IIQCVE9H,"Orca ""pc gamer""",21
A3H9PLV6L2S194,Jim Davis,21
A16IRCKUPASG2R,"F. Ramirez ""F Ra""",20
AV7BAB8LNYNKT,"Bart Furmanik ""Film Viewer""",20
A1R738D7BDSSJL,"Mark T. Von Seggern ""Marky Marker""",20
A2A6NH6DPE0VXR,"Jim ""Pimmy""",20
A1TW9ZGRDQQZ2Y,Monkdude,20
A3M2WW0PO34B94,thornhillatthemovies.com,20
A3NI7CDPZ2OCT1,"superstar ""Sam""",20
A3KEZLJ59C1JVH,Melissa Niksic,20
A1VABWDOUQLULZ,S. K. Harrell,20
A18G7GG53G2X8A,Chris Pandolfi,20
A2FVW24CH83R2P,"TheGodfather ""TheGodfather""",20
A1I182X374TVVL,oldkawman,20
AQP1VPK16SVWM,"Wayne Klein ""If at first the idea is not absu...",20
AG8U6F6226GBZ,Lotte,20
A1IVSLS42PAHCJ,"C. Stransky ""Grandma of 13""",20
A27P0MW8TE1JQP,Kevin J. Loria,20
A1GFNTDUHA6RTF,Stt,20
AGAOVMKBEBU27,shane,20
A2G69683YF3HSB,klovess,20
AMX4202M7D7HV,"M. Secaur ""Meredith Secaur""",19
A36WFRQFA3GVH4,Janelle Wood,19
A35N200UCS2GOW,Hope Jones,19
A33KZ1JGTPOO4M,"Mikunda-Amaranda ""Mikunda""",18
A34KBK8ORA5GRV,AVID MOVIE WATCHER,16
A3TOLK34MJLKLE,Bruce E. Roberts,16
A3N3BGP9O3FZZ7,Linds,16
A3D01LDZEXO4RD,Charles K. Gorga,15
A2VW4XVM0BIP92,Enid Logan,15
AJBQFP1UI5CU3,Nicole L,15
AW9GPAD1IB8IR,"Virginia Cyrus ""Cyrus""",15
A2Y9M8EXP74GS7,"Chua Yi Fen ""HP""",15
ACEA95FQS1AVP,Jem,14
A9Y6B6OWUNHEW,Elisa Maza,14
A288B41EHIBKM9,"""balkan_tr""",14
A304GUEPCPYM3Z,"citan-uzuki ""citan-uzuki""",14
AUJLN5NVTOAWO,amber,14
A24SA7IVTEHCMI,The Otaku,14
A1G69BQLIUMWPN,cassidrm,14
A2M9IMTJXHFF5F,Potterfan87,14
A7MOLIHGHO9K0,"Nick Kline ""KickNine""",14
A3MCQSIBV7QW8Q,Priscilla Stafford,14
A4K4CST11RO5X,"""chrisshadybell""",14
A1PCQHQ6NPGL9F,mdizzog,14
A2LNB56V6MGVQR,"Monalisa ""Ana""",14
A2NMXYVQYTWMLD,R. J Metz,14
A9LSLYQW28X6H,Jeff Van Gastel,14
A336PUAY0FTADU,"Mary K. Dunham ""Reading Nana""",14
A2SPKHG8OXFKCS,"""person171""",14
A2OOQ59V7YWYL1,Gloria M.,14
A14VF2VZ2O4586,"Renee ""windrider""",14
ATS7LYGLUX34L,Daniel V. Reilly,14
A3GKPMHV4U64IY,Joshua Koppel,14
A364Q5GE972TG4,Abhinav Saksena,14
A2EBUYB1AD87QS,Katie,14
A3F3ESBSR7Y2DV,Smonocco,14
A3PWJJ178JMJ81,"""chronotrigger2030""",14
AS8RBVEI9HI39,"M. Heather ""madjh""",14
A173A95N6O1H55,manga zero,14
A1NXEZZBVG7GTQ,Mike,14
ADC1BBNNXXBPS,Franklin Morgan,14
A2H5UL4VOAAAPL,jhfghgasjdg,14
A1OW59QA54KO75,Julia,14
A7LETD6QFC01H,Dragonsgrrl,14
A3GR51CBQ37ZGD,"""aerorigel""",14
A26Q94ZP8U3KMD,FJLeon,14
A3O6C9IWSPMB6X,Marie,14
A2F3SXHT6RBV81,"Betty Burks ""Betty  Burks""",14
A11V89GQUU8I3,Ryan Michael Mcgann,14
ACUUA90VVOCAS,Brian,14
AVMPHT5WMHDJG,Julia,14
APY4MWHL0JUMU,Mrs. E,14
A147Z0N82EI5BI,"BCCM ""HR Professional""",14
A16HNKNPPILNTP,"M. Lugo ""mother of 5""",14
A1BBLKQ2KUW1RB,Sheri Robinson,14
A1T79YERIRAD9R,horrorjunky,14
A135VALBZFPMSM,"A. Leahy ""crossbow1""",14
A3LUIN4CYOHW4F,V. S. Almeida,14
A2INDJJI12NBEX,"Katelyn Flame ""www.matmice.com/home/coffeehau...",14
A1FOOC054EJMWG,"""skittery99""",14
A2XFJDR4190DGV,Michelle Rojas,14
A1ECJ4L8D2P3PJ,Vanessa,14
A3HC8LWWX61VTN,"C. Christakos ""howtowriteachildrensbook.com""",14
A1D2ZN57YG2NMH,Media Lover,14
A2J6F21VIJTSI6,"Linda C. Geddes ""leetleleenda""",14
AEXMUEV9AG8AK,"Yugioh lover ""yugiohgirl""",14
A19KUWWB6UWE2T,Dennis Morse,14
A2BLYTTED9FKNE,"Stephanie Hilliard ""Book Lover""",14
A4B7RO5G6NWY5,"Alexis H. Campbell ""by Alexis""",14
A17YRY52D3P77S,Sancho Panzo,14
A20V4PL5EPTURU,Jean B.,14
A2R9UJ3NJLY8XE,Carey R. Piper,14
A1IWWRZJOXOSYP,Lee Armstrong,14
A1T3O2LILVK0C4,"Count Orlok '22 "":(""",14
A39CX0EE4BZCZC,Craig Connell,14
A151FEG48Z4QUA,"Amanda Cutcher ""A Nurse in AL""",14
A1NGGNM4IPM2MB,Anthony V. Thompson Jr.,14
A3TM3P9HCUVYWM,"Ann B. DeChant ""Sundew""",14
A37JG6LPAY3W35,"Pooh Bear fan ""Denise Jensen""",14
AVTKNF3AKBFD8,Stacie Arnold,14
AF0E9G6Q48G3S,Donna,14
A2KILNYE6LV4Y2,MWJII,14
A1ZAKIEU3PV79W,L. Rogers,14
A15N4DT14VBD5D,&lt;3 Eryn,14
A2PM3C2NFO15GY,2uBoyz Mom,14
A3LU79BYMWZEW9,Gregor von Kallahann,14
A2QTMJVSBMHFQQ,Rachelle Gerali,14
AF48GZ2WHNXHV,"Neha ""24 yr old School Librarian""",14
A1NUH1B039E51Q,"""santosal""",14
A3R44HOV1FL3LE,"""bigfreakshalo""",14
A1UV1XND71NY8J,"J. Sterner ""toomuchtaken12""",14
ATRBR5CV219EQ,Brett Kottmann,14
A1CB387BDVSVOE,Meghann McCoy,14
A3S6YZKGKTKJ44,"Craig Jauvtis ""clj124""",14
A3EBHHCZO6V2A4,"Amaranth ""music fan""",14
A1BNB2HJ2MBHF5,"D. C. Cannon ""dcannon661""",14
A289Y66VCJN48Y,Rose Riker,14
A12V35YUBA1VKX,Sammi,14
AX2SQL63A5CMV,"Andrew Dobson ""AKA 'Tom Preston""",14
A1HM23BUBTCN1Z,CaudleClan,14
A21U7E0Y7SJMEH,"Riven ""ladyriven""",14
A2O0LXBK331Y00,"William Morrell ""bill""",14
AANR5U3FWDWU1,"Fat Maggot ""fatmaggot""",14
A2XEY77XEB6U70,"Y. Coulter ""sapphire_mage""",14
A2NIGI5371S5U6,David Khaindrava,14
A1YUXCJIALBEQB,Lady Bug,14
A1R2URG8OHNEDS,"Ed Mich ""Ed""",14
A1U77W0BBSWFRY,"""baronlover""",14
A1GCKHLCDCJZO9,Mike Hogan,14
A3H2QD4PCELTQV,k-2movie&musicfan,14
A319YRDK8Y39N,"""qmlhcb""",14
A2JBY2SLQQFNH,Hannah,14
A1FS1H1377YLLR,Scott Jenson,14
A311EDZ82AJVSI,venusprincess68,14
A2DXQIDWNX6S2K,"Bond, James Bond  :)",14
A3L23DPICGVP1T,P. Dolan,14
A3U5JCXIXTGSLN,musiclover13,14
A2TIQV1QYPU106,FABIAN LAGO,14
A3JEAOV834WA73,"""high_summoner""",14
A24DF0LLVWULEX,"Evanesco ""nettieuser""",14
A1HWYQ9BR7SSD0,"""jeby462""",14
AS9J0WAKEKZ5M,Walter Grimace,14
A3IIGP42LTJRWI,Holly Richardson,14
A2VC4BBE7SSIUH,Kayla,14
A18Y54UR5R0EN1,Betty,14
A3H00OAJZ4PGQ9,oldnoakes,14
AAU7CAQIN5BAE,"EliteLamo ""too weird to live, too rare to die""",14
A2YQZH26JOCF8Y,"Robert Brown ""filmFreak""",14
A1IO3LVYV5ZMK8,Desmond Chan,14
A8F2AZWB20X1H,JLind555,14
A1S64NSJMLXXIK,"""mljkb""",14
A11J28L8CNAV5H,EvilFairy,14
A3AL33O0NQRDO6,Kyung Sun Jang,14
AX3C8E36XUTJC,"""dpolishchuk""",14
AR37967IAR6ZT,Benjamin,14
A1W8SU6R4QIE6I,Owen Patrick Reilly,14
AIRUD8MTVJAD1,Ben N.,14
A1GFR7W82ZHETQ,"""lia47""",14
A1Q0D63P5ZO7KS,"""aradya""",14
ADEU7H697MIYB,Azrul Yahya,14
A1IANEBSMVGHS9,"Manny Hernandez ""@askmanny""",14
A6D789DZK0Z1B,Jason Koster,14
A33IBL0BJYHRKI,tey,14
A2F0TAKA9THQJ3,Cate,14
A2B663RLH19RH8,LnKnProphets,14
A2GABCU2EUMI92,"Paula Rae ""Wildflower Girl""",14
ABKFAG9861MY,Suzzart,14
A52KI87KEWX39,the contented cat,14
A28KCAK11GMDI4,Jhonathan E. Rupchand,14
A2R3O747OPX9MW,Marge,14
A26DW9CUI5XDG,Brian Feucht,14
A3Q1BB9DHSEESD,D. Gent,14
A2Y412V5PIRX4U,"g3t_some ""DMB FAN # 41""",14
AYOB3ZIMISOXK,"Stuart G. Brantley ""Stu-B-Doo""",14
A36O1ULZNMJ6KH,Mithril Designs,14
A2HJZ2KN9YA9L2,"Daniel B. Waldman ""Film Guru""",14
A36493HLYUOWKL,"Martha Stewarts ""sister""",14
AESN1OLHO9KE5,"Redwall lover ""the Book fanatic""",14
A13ONLSTC7847G,"Kenneth A. Allen ""Kenneth A Allen""",14
AW9OZO7ZVATJT,Grandpa Charles,14
A139N4FPAQ115I,"M. Martin ""SlvrStr70""",14
AJI8AE4LR8P5A,Brian Niven,14
A74LUJUROAOKJ,blueyes,14
A1PMCYXO92P2C2,Lowell Crawford,14
A2QZVO4TSPXI7Q,Funloven,14
AGH18UE5JWV4Z,"Christina M. Verville ""Christina""",14
A1G67VMMUNDWRH,Amira Ahmed,14
A854E5FCL8X1I,customer,14
A2FV857F1GBHNK,Charles Allen,14
A1MU7S15L0914G,"T. A. Widman ""book-a-holic""",14
A3NBXRAEOCB0X6,"R. McClintick ""Rhapsodie""",14
A1VR8CU042XWLJ,Todd D. George,14
A35W2ELMY2855U,Curtis Sharp,14
A1NEOI04HSS0M0,"K. Dille ""Bias""",14
A1QQUVW3IMZMNX,Heidi Gresse,14
A19MU1BERP504U,R. Wyrick,14
A2SSEJA10NPIQ3,"Gareth Peter Wentzel ""GazzyV""",14
A2SSXCTSMCMZG4,Melmin23,14
A1SPGA3JYHBUEO,bassman26,14
A1FSEYIQA6DR9V,Carolness89,14
A36LW0EN3AGN6V,T. Taylor,14
A1SCJWCMQ3W3KK,Irishgal,14
A1RSURXY0EIA1C,MatheusReis,14
A1U28O8FB77T57,William Irwin,14
A2RTHKLJRRETD8,penny wicks,14
ADIC6YCN8WDRD,"Anthony T. Herriman ""DrBerz""",14
A29DTFGYXZ3JLC,"Judy Pearson ""Classy shopper""",14
A1SLFZ2AYWZV,Kingsley Obike,14
A1X07KWEYM03VA,"Cathi Carpenter ""picturemommy""",14
A3LPLRW19HCWIE,Rhea Powell,14
A344BMJP6A5KL1,Ms. Hoh,14
ATQM05YKK5OY0,loliemargaret,14
A3RO3ABCW2JC2O,matsuko,14
A2H8JDT3D6BKA4,BarbaraMck,14
ARIDDYTQ1ND1N,holli_ster867,14
A1OFBDGM1IPVS7,"JoJo ""meemawe""",14
AVTYRM90GJR0M,barneycody,14
A1XGGZNT3ENHKK,DJ620,14
A2ONMNHNAQBRA9,Ebooth02,14
AJQH2XUBV7VEY,Triton,14
A3VTH54DOCZ9AN,Gumby's girl,14
A3PLJ6W9FDAN8S,"Perkie Winkle ""Tough Goes Shopping""",14
A1BPHM8B30V34R,Paulo,14
A2H8ICFQ0GN69Z,"Aaron Singh ""human male""",14
A1033RWNZWEMR5,Melanie,14
A2IHFM9TGJ14ES,"Karin ""belleaurora""",14
A2QQHIY23PL7H3,Simon,14
A1TU84F1NWQSN5,"H. Semones ""soanim8ed""",14
AKPORHGV2QC4A,Raine,14
A3EW2L59UBHQSG,Bruce Aguilar,14
A28SJBJ0EGQPPW,Charles Clark,14
AA3YR5Q1K4KLC,Andi Miller,14
A16ENHV8WE51U6,Rdea64pny,14
A308NH00DIGIND,"Donna Whittington ""All time Disneyland Nut""",14
A1MPQKJ44TQICP,"Pavel Kheyfets ""Pinny""",14
A3FQ1OY0M1BM21,Jax,14
ASVMLRAPCB6TU,Abigail Mansfield Marcaccio,14
AQL5MWLWFLNIJ,MoZo,14
A18C7OQ0OTP3XD,"Penny S. Mosher ""Penny""",14
A103YS79I6BWDH,Devin,14
A1H5OUCUX299LY,"Robert D. Emerson ""remerson1953""",14
A307KXN99GJ10A,"""tkgurl8""",14
A2DFQZSVOVXVS4,"""djalex06""",14
A1AXHNRDJEQ0B,Adi Adler,14
A3HXFR3B0V5HNM,Jeffrey A. Ward,14
AGU2ZGUBFCJTJ,"MickeyMoose15 ""jakastner""",14
A7KWYZ2ZYQRA6,Rosebud,14
A457S8SW690NM,hi,14
A3MV1KKHX51FYT,Acute Observer,14
A3SJSNS9LW981O,Jeffrey J. Messenger,14
A2ZQXHBN605JTB,"Angela M. Healey ""AngelaMHealey""",14
A2BSC06JXBWVP9,Ken Hammer,14
A2C27IQUH9N1Z,audrey,14
A336BNQEYO0895,"Richard Poulsen ""and Family""",14
A3J82YTSWCWWS3,Collin,14
AF6R6WOY7PNUG,"""jbski33""",14
A3TJN7YBOZC75U,Phily,14
AMY5FH3WYKZQT,"Lika Laruku ""likalaruku""",14
A3B9XCZ8BV5R1T,Christina Fusco,14
A2ZSUBCAAJ9X00,"David Adams III ""Avid TV Fan""",14
AJ3KAWB8IFUMY,"B.J. ""wi_aries""",14
AK0PLAZ6BBT2C,"""relykk""",14
A2JT6BO9PW4Q8O,David Traill,14
A1PQLR0EN31PE8,E. Smith,14
A1WN80Y2BJXPUZ,Lauren Moynihan,14
AF0JLAIP1CAPM,S. Katz,14
A242OKJKC9IBLR,"""dalika3""",14
APBDZ88BBTN4F,R. McAdams,14
A2DRHY9HJ4DE1F,Ahmed,14
A2ASEBCEN9ZWTZ,"Mr. JKW ""jkw""",14
A340VLH8QDWB8Q,"Leanna ""moondance34""",14
A1J2931UBBJPXM,Reviewer,14
A3E0MSKBIWMU6F,obryanstars,14
A4FX5YCJA630V,"R. M. Fisher ""Raye""",14
A2CQJB0XFQ74P5,Susan Emert,14
A3E51RY6Z6E79D,"""doglvr5""",14
A23P6AHUT8ESN3,Work and Play,14
A2Q8GDXZVUQX7N,"""essndee""",14
A1QLUP86XSAK24,Steph,14
A2J70XJ7EN62S6,"""aryln""",14
A8LT66GHJAOQY,"destiny morna ""destiny21""",14
A2Z7W7DWT8EPEG,"Sarah Schroder ""SarahJoy00""",14
A1DDSC8W1D9L6K,"""belthazaar""",14
A3KF4IP2MUS8QQ,"Daniel Jolley ""darkgenius""",14
AXJTNYD3UK1BP,"1smileycat ""1smileycat""",14
AT8JS495WFAZI,Stevie Rich,14
A1MEVYHLJLLR7A,"Terry Farrell ""Jadzia Dax""",14
A32EDSKLEUZ3Y7,Chris,14
A2U773LZTRQKHZ,"InDiAnBaBu ""indianbabu""",14
A1EYUZTL1RY5CV,"Guy Brown ""Guy""",14
A1DDDTSZJL6M2I,"Paul HItch ""HItchy""",14
A1EPAKMDIIK7TK,Sharon E. Maurer,14
A2WMPYQA0VDO3H,Nickibockers,14
A5I8OWSLWM1MF,John Michael Kain,14
A51TPK2ICWS3A,"Bess Weaver ""Ellen""",14
A33596EDYVUTZV,"Kerry M. Bourke ""Little Devil""",14
AA231NH7SQZ4P,Blitzkrieg,14
A20ODVOVT89HI3,bible student,14
A2F36KTK107P1T,Karen Kline,14
A34W4XFQS4AVXI,Daniwojo,14
A35KCB7TD01HT8,dietrich pilkinton,14
ATFNT456Z3N64,Geno,14
A2RAD1WT3W17NU,"Tammy Cotter ""Fall Fanatic""",14
A1TWTULVD6F22O,"L. Quido ""quidrock""",14
A2Z74GN90486PC,"""vanillabean_fs""",14
A87B8DOGVL1HN,Amanda Smith,14
AW3VZ5O895LRK,"carol irvin ""carol irvin""",13
A2J4HCV3ANHTZQ,"Nathan Grammatico ""Nate""",13
A1UFQDZCCCS2SH,Elaine M. Wigle,13
A2JFOLSMYONB8N,R. Boone,13
A1V5BBC1C81IIX,Kennith Perry,13
A3MCD82QVBLWRX,Hunter,13
A2YRSPVQIGWE5C,"Michael E ""Michael E""",13
A42GFMF12V7XR,Paul J. Mular,13
A3FI0I5DMDFG1L,K. A. Prothero,13
A1LU9I7D84ZQ7A,Jay Schufman,13
A2IRISEUJESUPO,"Frederik Tellerup ""ButtMonkey""",13
AL32RCRVVN28R,"Joanna Rodriguez ""joymaro""",13
A3RTWOM0LA5KGH,"Treasures from Toni ""Treasures from Toni""",12
A1VUL7D9UDK1SS,"Severina Snape ""Jedira""",12
A2DHJZOSMNYTT8,"Aunt Loui ""lover of literature""",12
