p
"{productId:B0000633SA,title:Discovering the Real World of Harry Potter}"
"{productId:B004WQ1Z0C,title:Harry Potter and the Sorcerer's Stone (Blu-ray + DVD + Digital Copy Combo Pack)}"
"{productId:B0002TT0NM,title:Harry Potter And The Prisoner Of Azkaban [VHS]}"
"{productId:B000639Z48,title:Harry Potter and the Sorcerer's Stone}"
"{productId:B000ZELISO,title:Harry Potter and the Half-Blood Prince [Blu-ray]}"
"{productId:B008UZ7MUI,title:Harry Potter & The Deathly Hallows Part 1 (Blu-ray 3D)}"
"{productId:B003EYVY0E,title:Harry Potter and the Prisoner of Azkaban (Three-Disc Ultimate Edition) [Blu-ray]}"
"{productId:B003EYVY0Y,title:Harry Potter and the Goblet of Fire (Three-Disc Ultimate Edition) [Blu-ray]}"
"{productId:B000E6EK3I,title:Harry Potter and the Goblet of Fire [UMD for PSP]}"
"{productId:B000E6EK38,title:Harry Potter and the Goblet of Fire (Full Screen Edition) (Harry Potter 4)}"
"{productId:B0002VB24K,title:Harry Potter and the Prisoner of Azkaban (2 Disc Edition) [2004] [DVD]}"
"{productId:B009H42GWU,title:Harry Potter and the Deathly Hallows: Parts 1 and 2 (2-Movie Ultimate Edition) [Blu-ray]}"
"{productId:B000E1MXVE,title:Harry Potter and the Sorcerer's Stone [UMD for PSP]}"
"{productId:B002PMV9FG,title:Harry Potter and the Half-Blood Prince (Widescreen Edition)}"
"{productId:B0028O9T8K,title:Harry Potter & Sorcerer's Stone [VHS]}"
"{productId:B004GJYRAK,title:Harry Potter and the Order of the Phoenix [Blu-ray]}"
"{productId:B000W7DGHU,title:Harry Potter Interactive DVD Game - Hogwarts Challenge}"
"{productId:B00008DDXL,title:Harry Potter and the Chamber of Secrets (Full-Screen Edition)}"
"{productId:B00008DDXC,title:Harry Potter and the Chamber of Secrets (Widescreen Edition)}"
"{productId:B000W745CU,title:Harry Potter and the Prisoner of Azkaban (Full Screen Edition)}"
"{productId:B005OCFGTO,title:Harry Potter: The Complete 8-Film Collection}"
"{productId:B001UV4XI8,title:Harry Potter and the Deathly Hallows, Part 1 [Blu-ray]}"
"{productId:B004WQ304G,title:Harry Potter and the Chamber of Secrets (Blu-ray DVD Digital Copy Combo Pack)}"
"{productId:B004P9FAJS,title:Harry Potter and the Order of the Phoenix (Three-Disc Ultimate Edition)}"
"{productId:B002PMV9K6,title:Harry Potter and the Half-Blood Prince (Single-Disc Full Screen Edition)}"
"{productId:B002GY6N7W,title:[Featurette] Harry Potter Years 1 - 5}"
"{productId:B0010SQYE2,title:Harry Potter and the Order of the Phoenix}"
"{productId:B00005RDQ0,title:Harry Potter and the Sorcerer's Stone}"
"{productId:B00005U518,title:Harry Potter and the Sorcerer's Stone}"
"{productId:B001UV4XIS,title:Harry Potter and the Deathly Hallows, Part 2}"
"{productId:B0006UUPTA,title:Harry Potter: Innocent Entertainment? or Darkness Disguised?}"
"{productId:B000W10FWU,title:Harry Potter and the Chamber of Secrets [HD DVD]}"
"{productId:B000FOT9OO,title:60 Minutes - Harry Potter (September 12, 1999)}"
"{productId:B000W7F5SS,title:Harry Potter and the Order of the Phoenix (Widescreen Edition)}"
"{productId:B0006N2EF0,title:J.K. Rowling & The Birth of Harry Potter}"
"{productId:B004P9FAKW,title:Harry Potter and the Order of the Phoenix (Two-Disc Ultimate Edition) [Blu-ray]}"
"{productId:B00308TGGS,title:Harry Potter-Half Blood}"
"{productId:B005OCFHHK,title:Harry Potter: Complete 8-Film Collection [Blu-ray]}"
"{productId:B006AM4UUS,title:Harry Potter & The Deathly Hallows: Part 1 [Blu-ray]}"
"{productId:B000GOVLNK,title:Harry Potter and the Goblet of Fire}"
"{productId:B0097GUQPW,title:Harry Potter And Chamber of Secrets [UMD Mini for PSP]}"
"{productId:B002TXIUDU,title:Harry Potter: Theme of Friendship Exclusive Extra}"
"{productId:B00008DZ81,title:Harry Potter and the Chamber of Secrets}"
"{productId:B00005JPI2,title:Harry Potter and the Order of the Phoenix (Two-Disc Special Edition)}"
"{productId:B004WO8MF0,title:Harry Potter and the Half-Blood Prince LIMITED EDITION Includes: Blu-ray / DVD / Digital Copy}"
"{productId:B006671NPM,title:Harry Potter and the Deathly Hallows: Part 2 (3D)}"
"{productId:B007FSEAHY,title:Harry Potter Wizard's Collection (Blu-ray / DVD Combo)}"
"{productId:B002RVCD46,title:Harry Potter and the Half Blood Prince}"
"{productId:B004GJYR9Q,title:Harry Potter & Prisoner of Azkaban [Blu-ray]}"
